"idfriends";"user";"friend"
642431;5421;6061
642441;5421;7511
642451;5421;6931
642461;5421;7591
642471;5421;7081
642481;5421;8001
642491;5421;6641
642501;5421;5601
642511;5421;6021
642521;5421;5731
642531;5421;7241
642541;5421;6001
642551;5421;5491
642561;5421;7821
642571;5421;5831
642581;5421;7771
642591;5421;6451
642601;5421;5941
642611;5421;7531
642621;5421;7401
642631;5421;7991
642641;5421;7781
642651;5421;6841
642661;5421;5701
642671;5421;6101
642681;5421;6551
642691;5421;6201
642701;5421;7981
642711;5421;7501
642721;5421;6211
642731;5421;7891
642741;5421;6661
642751;5421;5641
642761;5421;5961
642771;5421;5661
642781;5421;7331
642791;5421;6771
642801;5421;7051
642811;5421;5811
642821;5421;5431
642831;5421;7131
642841;5421;8011
642851;5421;7431
642861;5421;7561
642871;5421;6361
642881;5421;7521
642891;5421;6791
642901;5421;6961
642911;5421;6491
642921;5421;6881
642931;5421;6521
642941;5421;6371
642951;5421;6141
642961;5421;6441
642971;5421;6301
642981;5421;5901
642991;5421;7641
643001;5421;8031
643011;5421;6421
643021;5421;7681
643031;5421;7751
643041;5421;5911
643051;5421;6321
643061;5421;7811
643071;5431;7251
643081;5431;7291
643091;5431;7631
643101;5431;6781
643111;5431;7951
643121;5431;6031
643131;5431;5491
643141;5431;7511
643151;5431;7781
643161;5431;7531
643171;5431;7891
643181;5431;6111
643191;5431;5521
643201;5431;8071
643211;5431;5961
643221;5431;5691
643231;5431;6681
643241;5431;6601
643251;5431;5941
643261;5431;6241
643271;5441;8041
643281;5441;5771
643291;5441;7611
643301;5441;7351
643311;5441;5491
643321;5441;6181
643331;5441;5861
643341;5441;5901
643351;5441;7731
643361;5441;5781
643371;5441;7801
643381;5441;6361
643391;5441;7791
643401;5441;6851
643411;5441;5591
643421;5441;7061
643431;5441;8051
643441;5441;7911
643451;5441;5801
643461;5441;6091
643471;5441;7421
643481;5441;7841
643491;5441;6151
643501;5441;7111
643511;5441;7661
643521;5441;7231
643531;5441;7871
643541;5441;6331
643551;5441;7391
643561;5441;6131
643571;5441;7511
643581;5441;5471
643591;5441;6011
643601;5441;6441
643611;5441;5571
643621;5441;7011
643631;5441;7121
643641;5441;5461
643651;5441;5701
643661;5441;6121
643671;5441;7051
643681;5441;7481
643691;5441;6481
643701;5441;6751
643711;5441;6371
643721;5441;6661
643731;5441;5741
643741;5441;5711
643751;5441;5811
643761;5441;5731
643771;5441;7091
643781;5441;6411
643791;5441;5681
643801;5441;5531
643811;5441;8031
643821;5441;5821
643831;5441;5921
643841;5441;7711
643851;5441;7021
643861;5441;6341
643871;5441;5931
643881;5441;7671
643891;5441;5511
643901;5441;5871
643911;5441;7141
643921;5441;7221
643931;5441;7381
643941;5441;7451
643951;5441;6421
643961;5441;7161
643971;5441;7541
643981;5441;7621
643991;5441;6761
644001;5441;7891
644011;5441;6101
644021;5441;8081
644031;5441;5961
644041;5441;7811
644051;5441;7431
644061;5441;6171
644071;5441;6511
644081;5441;6991
644091;5441;5611
644101;5441;6571
644111;5441;7211
644121;5441;6201
644131;5441;7961
644141;5441;6161
644151;5441;5551
644161;5441;7461
644171;5441;6021
644181;5441;6451
644191;5441;5981
644201;5441;8001
644211;5441;5441
644221;5441;7631
644231;5441;6601
644241;5441;5661
644251;5441;6721
644261;5441;6111
644271;5441;7691
644281;5441;6681
644291;5441;7331
644301;5441;6711
644311;5441;7201
644321;5441;6841
644331;5441;5651
644341;5441;6501
644351;5441;6951
644361;5441;5971
644371;5441;6391
644381;5441;6431
644391;5441;7881
644401;5441;6301
644411;5441;6041
644421;5441;7371
644431;5441;7301
644441;5441;7771
644451;5441;6871
644461;5441;5451
644471;5441;6581
644481;5441;6471
644491;5441;6401
644501;5441;7491
644511;5441;6891
644521;5441;6701
644531;5441;6801
644541;5441;6541
644551;5441;6941
644561;5441;7131
644571;5441;6211
644581;5451;6221
644591;5451;7121
644601;5451;6511
644611;5451;7891
644621;5451;6131
644631;5451;6351
644641;5451;7501
644651;5451;5811
644661;5451;7471
644671;5451;7041
644681;5451;7591
644691;5451;6811
644701;5451;6691
644711;5451;7971
644721;5451;6501
644731;5451;7431
644741;5451;6841
644751;5451;6401
644761;5451;6871
644771;5451;7421
644781;5451;7491
644791;5451;6151
644801;5451;6971
644811;5451;6001
644821;5451;5771
644831;5451;6191
644841;5451;6321
644851;5451;5791
644861;5451;6601
644871;5451;8091
644881;5451;7391
644891;5451;7511
644901;5461;7611
644911;5461;6291
644921;5461;6951
644931;5461;5701
644941;5461;6801
644951;5461;6391
644961;5461;6841
644971;5461;5651
644981;5461;6611
644991;5461;7691
645001;5461;7731
645011;5461;7281
645021;5461;7211
645031;5461;6571
645041;5461;6941
645051;5461;7101
645061;5461;5961
645071;5461;7351
645081;5461;7591
645091;5461;7201
645101;5461;6601
645111;5461;5731
645121;5461;7121
645131;5461;6091
645141;5461;7081
645151;5461;5611
645161;5461;6271
645171;5461;6901
645181;5461;6121
645191;5461;5681
645201;5461;6671
645211;5461;5691
645221;5461;6141
645231;5461;7051
645241;5461;7421
645251;5461;7441
645261;5461;7831
645271;5461;8111
645281;5461;7481
645291;5461;7931
645301;5461;7231
645311;5461;6681
645321;5461;7951
645331;5461;6451
645341;5461;6711
645351;5461;7531
645361;5461;5481
645371;5461;7091
645381;5461;6171
645391;5461;7841
645401;5461;6631
645411;5461;6751
645421;5461;6331
645431;5461;6471
645441;5461;5751
645451;5461;7761
645461;5461;7191
645471;5461;5781
645481;5461;7661
